No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2012.9166667,32.0,-0.3496725278985216,10,24.98298,121.54024,37.9
2,2012.9166667,19.5,-0.1593509856438991,9,24.98034,121.53951,42.2
3,2013.5833333,13.3,0.0598763453533195,5,24.98746,121.54391,47.3
4,2013.5,13.3,0.0598763453533195,5,24.98746,121.54391,54.8
5,2012.8333333,5.0,-0.08726772262806552,5,24.97937,121.54245,43.1
6,2012.6666667,7.1,1.4445191922566571,3,24.96305,121.51254,32.1
7,2012.6666667,34.5,0.11265833455083475,7,24.97933,121.53642,40.3
8,2013.4166667,20.3,-0.17565394416364175,6,24.98042,121.54228,46.7
9,2013.5,31.7,4.309016354462689,1,24.95095,121.48458,18.8
10,2013.4166667,17.9,1.1081540373003504,3,24.96731,121.51486,22.1
11,2013.0833333,34.8,-0.07469641295769394,1,24.97349,121.53372,41.4
12,2013.3333333,6.3,-0.3448850092132377,9,24.97433,121.5431,58.1
13,2012.9166667,13.0,0.0,5,24.96515,121.53737,39.3
14,2012.6666667,20.4,1.6974175465438897,4,24.96108,121.51046,23.8
15,2013.5,13.2,0.5773675050916165,4,24.99156,121.53406,34.3
16,2013.5833333,35.7,0.07466130428131855,2,24.9824,121.54619,50.5
17,2013.25,0.0,-0.17102260329204355,6,24.97744,121.54458,70.1
18,2012.75,17.7,-0.12136082259714585,1,24.97544,121.53119,37.4
19,2013.4166667,16.9,-0.10652350109557951,8,24.9675,121.54451,42.3
20,2012.6666667,1.5,-0.40246085210903565,7,24.96772,121.54102,47.7
21,2013.4166667,4.5,1.531086544003189,3,24.96314,121.51151,29.3
22,2013.4166667,10.5,-0.18289019430978484,7,24.97528,121.54541,51.6
23,2012.9166667,14.7,0.7450144391942618,1,24.95204,121.54842,24.6
24,2013.0833333,10.1,-0.18289019430978484,7,24.97528,121.54541,47.9
25,2013.0,39.6,-0.009900475057302663,4,24.97353,121.53885,38.8
26,2013.0833333,29.3,0.854657376229898,2,24.97542,121.51726,27.0
27,2012.6666667,3.1,-0.09302417210908376,5,24.98085,121.54391,56.2
28,2013.25,10.4,-0.18522814029942117,5,24.95593,121.53913,33.6
